Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-04,2024-04-05,128.7922,131.9373,127.5764,131.6996,94614995.61403508,2391361016.4140353
2024-04-03,2024-04-04,122.082,129.6355,120.5289,128.8129,82391696.1358885,2288295272.543554
2024-04-02,2024-04-03,122.481,122.9294,116.4234,122.082,85006602.80139373,2212360098.630662
2024-04-01,2024-04-02,127.6801,128.3298,119.7503,122.6745,75795767.71428572,2279625481.327526
2024-03-31,2024-04-01,128.8019,129.5033,126.9776,127.6061,68455094.47735192,2362159448.087108
2024-03-30,2024-03-31,131.9893,133.065,126.8568,128.9868,77783254.31707317,2410352411.728223
2024-03-29,2024-03-30,133.9892,137.0301,129.4457,132.4081,67956038.92657343,2466961944.178322
2024-03-28,2024-03-29,138.1396,139.6314,134.1322,134.2757,85174930.41958041,2518202435.0104895
2024-03-27,2024-03-28,134.8443,141.1184,134.2057,138.064,114429713.86759582,2526516690.9721255
2024-03-26,2024-03-27,142.4059,143.2122,133.574,135.1361,94108164.37630662,2567818142.7247386
2024-03-25,2024-03-26,141.9457,142.9736,140.3231,142.0523,72440374.20905924,2610536402.794425
2024-03-24,2024-03-25,139.3352,143.2756,139.3352,142.1697,80146529.75609756,2608744747.1324043
2024-03-23,2024-03-24,133.548,139.3224,132.3972,139.2954,74145883.03832753,2512954705.243902
2024-03-22,2024-03-23,138.0454,140.2229,130.851,133.6288,90848949.45804195,2506041512.3706293
2024-03-21,2024-03-22,139.4495,143.1151,137.8193,138.2333,102574471.75958188,2588656879.4808364
2024-03-20,2024-03-21,132.799,142.4438,128.7255,139.4489,105139918.83623694,2515436620.815331
2024-03-19,2024-03-20,140.1865,140.5449,129.0208,133.1909,97359367.79094076,2482508278.2229967
2024-03-18,2024-03-19,141.2191,141.2305,137.0005,140.6085,95859870.35888502,2566963744.6445994
2024-03-17,2024-03-18,139.0999,144.7937,137.1481,142.0924,92369648.08710802,2603593482.731707
2024-03-16,2024-03-17,142.1027,147.6515,134.4023,138.4938,99796915.8466899,2622732893.268293
2024-03-15,2024-03-16,147.6438,148.0031,138.8626,141.9315,120433082.15034965,2625444131.8671327
2024-03-14,2024-03-15,150.4349,151.6242,142.0227,147.3195,122263769.79790941,2727795084.369338
2024-03-13,2024-03-14,145.8447,150.5723,145.7479,149.995,108610744.97212544,2710980576.567944
2024-03-12,2024-03-13,146.3885,148.2386,144.2288,146.333,118193400.28222996,2687181875.0139375
2024-03-11,2024-03-12,146.5518,147.357,143.991,146.314,101595910.27874565,2680817118.1045294
