Start,End,Open,High,Low,Close,Volume,Market Cap
2024-12-13,2024-12-14,34.007,34.6621,33.2762,33.9094,1206244699.794425,5095128579.703833
2024-12-12,2024-12-13,33.4588,34.9976,33.3524,33.7625,1459780012.2404182,5137279283.902439
2024-12-11,2024-12-12,30.2888,33.9762,29.0117,33.4783,1442002469.121951,4743770134.891986
2024-12-10,2024-12-11,30.9778,32.0491,28.1645,30.2044,1927279818.010453,4564612556.195122
2024-12-09,2024-12-10,36.9389,36.9389,29.936,31.4443,1036780696.6759582,5169007475.7735195
2024-12-08,2024-12-09,37.2098,37.4572,35.9795,37.1148,916943845.8954704,5503105161.853659
2024-12-07,2024-12-08,38.485,38.485,36.828,37.2078,1817210840.4320557,5597874688.818815
2024-12-06,2024-12-07,35.5346,39.6569,34.3477,38.3103,1633658253.5524476,5516244784.122377
2024-12-05,2024-12-06,37.7853,37.7997,35.0405,35.6793,2183121429.0174823,5491956922.416084
2024-12-04,2024-12-05,34.842,38.6143,34.5954,37.6093,2618296831.3937283,5486768531.567945
2024-12-03,2024-12-04,33.6544,34.9853,30.4697,34.7802,1779917773.205575,4978329803.439024
2024-12-02,2024-12-03,33.1271,34.3565,31.2094,33.8233,1537063851.5783973,4927162014.700349
2024-12-01,2024-12-02,32.7254,33.3335,31.7883,33.0567,1004342052.076655,4855547627.912892
2024-11-30,2024-12-01,31.8284,33.7894,31.7613,32.7291,1288237140.4111497,4908305347.1986065
2024-11-29,2024-11-30,31.9549,32.2043,31.0603,31.8821,1114037850.6968641,4735559258.12892
2024-11-28,2024-11-29,32.7749,33.5101,31.4696,31.9747,1998262909.1916375,4789434460.111498
2024-11-27,2024-11-28,28.2535,33.093,27.9572,33.0553,1213217987.2648084,4462008765.958188
2024-11-26,2024-11-27,29.5849,30.3001,27.5729,28.3625,1572068651.5156794,4297335016.919861
2024-11-25,2024-11-26,28.55,31.7562,27.7063,29.7829,1449601802.031359,4475462122.679442
2024-11-24,2024-11-25,29.7152,30.4441,27.2685,28.8231,1267278818.132404,4329439072.034843
2024-11-23,2024-11-24,28.3207,30.9044,28.257,29.5734,1393313054.020906,4433690192.630662
2024-11-22,2024-11-23,27.4315,28.5357,26.9021,28.3495,1287274838.8292682,4167359771.2752614
2024-11-21,2024-11-22,25.3313,28.1178,24.761,27.3959,1145549764,4000389864.608392
2024-11-20,2024-11-21,26.0493,26.3892,24.7481,25.3865,677024847.4006969,3830592332.7909408
2024-11-19,2024-11-20,27.2437,27.2437,25.6566,26.072,864484443.1010453,3927797066.6620207
2024-11-18,2024-11-19,25.7503,27.2322,25.6614,27.1062,1290331505.43554,3963703776.944251
2024-11-17,2024-11-18,27.0973,29.9106,25.251,25.7941,2944059490.3972125,3998390260.1254354
2024-11-16,2024-11-17,23.0094,28.4215,22.9313,26.7668,1247178642.56446,3781100703.522648
2024-11-15,2024-11-16,21.7682,23.2156,21.5578,22.9892,740944984.0522648,3344313820.1916375
2024-11-14,2024-11-15,22.0539,22.5916,21.3547,21.6522,785873672.5679443,3311302506.1567945
2024-11-13,2024-11-14,22.9008,23.0782,21.2713,21.9679,915925922.1045296,3297864996.9059234
2024-11-12,2024-11-13,23.9201,24.4781,21.9629,22.9171,1052369141.076655,3427346313.9059234
2024-11-11,2024-11-12,23.0073,24.3208,22.2756,24.3208,901266192.0801394,3426299484.3728223
2024-11-10,2024-11-11,21.5287,23.9539,21.2784,23.0387,790232570.3902439,3393577759.1149826
2024-11-09,2024-11-10,20.3325,21.854,20.0172,21.5379,488074879.3832753,3058156526.7770033
2024-11-08,2024-11-09,20.2414,20.4451,19.756,20.3287,487716146.3937282,2993528364.7038326
2024-11-07,2024-11-08,19.5348,20.4519,19.424,20.1957,578560446.2125436,2972486278.8466897
2024-11-06,2024-11-07,18.1849,19.5687,18.1624,19.5437,462774436.4738676,2836040347.4006968
2024-11-05,2024-11-06,17.5574,18.2274,17.5368,18.1322,310987198.78745645,2675086588.160279
2024-11-04,2024-11-05,17.735,17.9208,17.4272,17.5413,305771841.7979094,2641915600.0383277
2024-11-03,2024-11-04,18.0684,18.0852,17.4354,17.754,311247557.70731705,2649702043.675958
2024-11-02,2024-11-03,18.4184,18.533,17.9807,18.0632,332887429.5749129,2718383177.512195
2024-11-01,2024-11-02,18.5365,18.8107,18.2313,18.4096,366692858.1324042,2749457969.226481
2024-10-31,2024-11-01,19.3897,19.3992,18.3794,18.5315,355425377.80139375,2822315243.139373
2024-10-30,2024-10-31,19.323,19.6513,19.1176,19.3904,374722917.8292683,2889997115.062718
2024-10-29,2024-10-30,18.9264,19.4244,18.9185,19.339,371970994.73867595,2857229175.7839723
2024-10-28,2024-10-29,18.3821,18.997,18.1523,18.926,318881462.4843206,2750694428.616725
2024-10-27,2024-10-28,18.2115,18.4637,18.0716,18.3768,296835584.1324042,2717885312.0522647
2024-10-26,2024-10-27,18.0651,18.4302,18.0291,18.2173,465093179.0452962,2720449049.2125435
2024-10-25,2024-10-26,18.7579,19.3393,17.97,18.1002,2979781759.303136,2805466069.365854
2024-10-24,2024-10-25,18.5431,18.8339,18.4114,18.755,313787890.4808362,2780226709.675958
2024-10-23,2024-10-24,18.9729,18.9729,18.2021,18.5432,312685364.1498258,2782406766.41115
2024-10-22,2024-10-23,19.3423,19.4098,18.8193,18.9654,336434032.4703833,2843481847.2543554
2024-10-21,2024-10-22,20.026,20.128,19.2943,19.3204,381851724.8606272,2930666773.445993
2024-10-20,2024-10-21,19.7498,20.1038,19.4414,20.0377,345945869.0209059,2932074120.9686413
2024-10-19,2024-10-20,19.2441,19.7692,19.1428,19.7692,308351654.8641115,2884788117.1114984
2024-10-18,2024-10-19,18.9799,19.2614,18.9539,19.2373,342088977.27526134,2846480463.7909408
2024-10-17,2024-10-18,19.3088,19.4729,18.7468,18.9677,357913871.41463417,2838583677.696864
2024-10-16,2024-10-17,19.2675,19.6385,19.1372,19.2965,438608746.12543553,2885711151.825784
2024-10-15,2024-10-16,19.3985,19.5257,18.7705,19.2353,431587413.8606272,2858627799.780488
2024-10-14,2024-10-15,18.4685,19.479,18.348,19.3834,340205988.23344946,2828082392.5365853
2024-10-13,2024-10-14,18.7249,18.7421,18.2788,18.4865,272850554.77700347,2761106141.529617
2024-10-12,2024-10-13,18.5424,18.8516,18.4472,18.6987,292762989.6097561,2783094940.292683
2024-10-11,2024-10-12,18.1107,18.6375,18.103,18.476,291261617.0662021,2733599801.1777005
2024-10-10,2024-10-11,18.072,18.286,17.8817,18.1169,297673471.3066202,2701205572.5400696
2024-10-09,2024-10-10,18.2939,18.4564,17.9362,18.051,308384754.88850176,2723033089.4390244
2024-10-08,2024-10-09,18.5818,18.7792,18.1699,18.2919,360892392.12891984,2752485975.8327527
2024-10-07,2024-10-08,18.7311,19.057,18.5654,18.5654,328379322.369338,2806174546.30662
2024-10-06,2024-10-07,18.4787,18.8388,18.4218,18.7333,276802802.5958188,2775144253.5261326
2024-10-05,2024-10-06,18.7662,18.7805,18.3321,18.5019,294919673.82578397,2770134144.7630663
2024-10-04,2024-10-05,18.5066,18.8343,18.3476,18.7414,400809147.4773519,2765423384.0174217
2024-10-03,2024-10-04,17.9159,18.5489,17.879,18.4774,450559433.1707317,2718570124.414634
2024-10-02,2024-10-03,18.4211,18.7246,17.7915,17.9642,466535809.65156794,2731448933.696864
2024-10-01,2024-10-02,19.4287,19.7721,18.2066,18.4492,386029866.4738676,2862567469.839721
2024-09-30,2024-10-01,20.3863,20.4061,19.3871,19.4582,385801286.1080139,2955058242.8745646
2024-09-29,2024-09-30,20.5041,20.6231,20.1537,20.4051,372453579.68292683,3042153142.6689897
2024-09-28,2024-09-29,20.7822,20.8553,20.2041,20.5239,396035888.70731705,3051633842.5017424
2024-09-27,2024-09-28,20.2403,20.9013,20.2198,20.7826,452589588.1045296,3067470041.87108
2024-09-26,2024-09-27,19.2733,20.2796,19.0877,20.227,396814532.4634146,2955100034.7874565
2024-09-25,2024-09-26,19.3555,19.6806,19.2204,19.2866,363468452.6933798,2893646883.163763
2024-09-24,2024-09-25,19.0961,19.4096,18.8519,19.3777,326338664.8118467,2837551733.836237
2024-09-23,2024-09-24,18.8415,19.3348,18.6785,19.0936,362279807.71428573,2839989111.9930315
2024-09-22,2024-09-23,19.3201,19.3488,18.5869,18.8708,313541202.7456446,2817848837.055749
2024-09-21,2024-09-22,18.934,19.3193,18.8528,19.294,368604524.3519164,2843001591.0592337
