Model,Release Date_x,Hashrate,Model_clean,Release_Date_x,Matched_Product_Name,fuzzy_score,Product Name,Architecture,Release Date_y,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TDP,L1 Cache,L2 Cache,Shading Units,CUDA,FP32 (float),Tensor Cores,BF16,TF32,Product_Name_clean,Release_Date_y,Date_match
GeForce RTX 4070 Ti Super,Jan 2024,83.00 Mh/s,rtx 4070 ti super,2024-01-17,rtx 4070 ti super,100.0,GeForce RTX 4070 Ti SUPER,Ada Lovelace,"Jan 8th, 2024",nan,nan,1313 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4070 ti super,2024-01-08 00:00:00,True
GeForce GTX 1080,May 2016,34.00 Mh/s,gtx 1080,2016-05-17,gtx 1080,100.0,GeForce GTX 1080,Pascal,"May 27th, 2016",nan,nan,1251 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1080,2016-05-27 00:00:00,True
GeForce RTX 2080 Ti,Sep 2018,55.20 Mh/s,rtx 2080 ti,2018-09-17,rtx 2080 ti,100.0,GeForce RTX 2080 Ti,Turing,"Sep 20th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080 ti,2018-09-20 00:00:00,True
Radeon RX Vega 64,Aug 2017,50.00 Mh/s,rx vega 64,2017-08-17,rx vega 64,100.0,Radeon RX Vega 64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx vega 64,,True
GeForce GTX 1080 Ti,Mar 2017,49.00 Mh/s,gtx 1080 ti,2017-03-17,gtx 1080 ti,100.0,GeForce GTX 1080 Ti,Pascal,"Mar 10th, 2017",nan,nan,1376 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1080 ti,2017-03-10 00:00:00,True
GeForce RTX 4080 Super,Jan 2024,87.00 Mh/s,rtx 4080 super,2024-01-17,rtx 4080 super,100.0,GeForce RTX 4080 SUPER,Ada Lovelace,"Jan 8th, 2024",nan,nan,1438 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4080 super,2024-01-08 00:00:00,True
GeForce RTX 4080,Nov 2022,87.00 Mh/s,rtx 4080,2022-11-17,rtx 4080,100.0,GeForce RTX 4080,Ada Lovelace,"Sep 20th, 2022",nan,nan,1400 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4080,2022-09-20 00:00:00,True
GeForce RTX 4080,Nov 2022,87.00 Mh/s,rtx 4080,2022-11-17,rtx 4080,100.0,GeForce RTX 4080 Mobile,Ada Lovelace,"Jan 3rd, 2023",nan,nan,2250 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4080,2023-01-03 00:00:00,True
GeForce RTX 3070 Ti,Jun 2021,80.00 Mh/s,rtx 3070 ti,2021-06-17,rtx 3070 ti,100.0,GeForce RTX 3070 Ti,Ampere,"May 31st, 2021",nan,nan,1188 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3070 ti,2021-05-31 00:00:00,True
Radeon RX 7900 XTX (*),Dec 2022,100.00 Mh/s,rx 7900 xtx,2022-12-17,rx 7900 xtx,100.0,Radeon RX 7900 XTX,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 7900 xtx,,True
RTX A5000 (*),Apr 2021,99.00 Mh/s,rtx a5000,2021-04-17,rtx a5000,100.0,RTX A5000,Ampere,"Apr 12th, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a5000,2021-04-12 00:00:00,True
RTX A5000 (*),Apr 2021,99.00 Mh/s,rtx a5000,2021-04-17,rtx a5000,100.0,RTX A5000 Mobile,Ampere,"Apr 12th, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a5000,2021-04-12 00:00:00,True
GeForce RTX 3080,Sep 2020,98.00 Mh/s,rtx 3080,2020-09-17,rtx 3080,100.0,GeForce RTX 3080,Ampere,"Sep 1st, 2020",nan,nan,1188 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3080,2020-09-01 00:00:00,True
GeForce RTX 4090,Oct 2022,127.00 Mh/s,rtx 4090,2022-10-17,rtx 4090,100.0,GeForce RTX 4090,Ada Lovelace,"Sep 20th, 2022",nan,nan,1313 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 4090,2022-09-20 00:00:00,True
Radeon R9 Fury,Jul 2015,29.00 Mh/s,r9 fury,2015-07-17,r9 fury,100.0,Radeon R9 FURY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,r9 fury,,True
GeForce RTX 5090 (*),Jan 2025,160.00 Mh/s,rtx 5090,2025-01-17,rtx 5090,100.0,GeForce RTX 5090,Blackwell 2.0,"Jan 30th, 2025",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 5090,2025-01-30 00:00:00,True
